Person_ID,Read_Online_Training_Materials,Trained_in_Person,Place_of_Training,Ecological_Experience,Eco_Experience_Comments,Self-Described_Naturalist,Naturalist_Skill_Level,Participation_as_Part_of_Job,Type_of_Job,Job_Comments,LPL_Certified_Date
6,,,,,,1,Advanced,1,,,
7,,,,,,,,,,,0000-00-00 00:00:00
9,,,,,,,,1,,,
26,,,,,,,,,,,
35,,,,,,,,,,,
51,,,,,,,,,,,
93,,,,,,,,1,Ecology/Science,,
164,,,,,,,,,,,
176,,,,,,,,,,,
182,,,,,,,,,,,
195,,,,,,,,,,,
204,,,,,,,,,,,
241,,,,,,,,,,,
256,,,,,,,,,,,
263,,,,,,,,,,,
324,,,,,,,,,,,
410,,,,,,,,,,,
481,,,,,,,,,,,
506,,,,,,,,,,,
522,,,,,,,,,,,
526,,,,,,,,,,,
527,,,,,,,,,,,
669,,,,,,,,,,,
676,,,,,,,,,,,
722,,,,,,,,,,,
744,,,,,,,,,,,
783,,,,,,,,,,,
789,,,,,,,,,,,
857,,,,,,1,Advanced,1,Ecology/Science,,
926,,,,,,,,,,,
939,,,,,,,,,,,
955,,,,,,,,,,,
1056,,,,,,,,,,,
1061,,,,,,,,,,,
1158,,,,,Degrees BA in Molecular Biology / Botany  and a BS in Horticulture / Agriculture,1,Advanced,,,,
1190,2010-03-01 00:00:00,,,"I have spent a great deal of time outdoors hunting or engaged in another endeavor related to observing animals.,I have a graduate degree in a field related to ecology/nature.",,1,Intermediate,1,Ecology/Science,,
1210,,,,,,,,,,,
1215,,,,,,,,,,,
1280,,,,,,,,,,,
1283,,,,,,,,,,,
1310,,,,,,,,,,,
1391,,,,,,,,,,,
1411,,,,,,,,,,,
1473,,,,,,,,,,,
1483,,,,,,,,,,,
1529,,,,"I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have a college degree in a field related to ecology/nature.,I have a graduate degree in a field related to ecology/nature.",I'm a phenology monitoring trainer,1,Advanced,,Ecology/Science,,
1547,,,,,,,,,,,
1592,2013-03-14 00:00:00,,,,,,,,,,
1596,,,,,,,,,,,
1616,,,,,,,,,,,
1658,,,,,,,,,,,
1722,,,,,,,,,,,
1744,,,,,,,,,,,
1774,,,,,,,,,,,
1789,,,,,,,,,,,
1805,,,,,,,,,,,
2002,,,,,,,,,,,
2043,,,,,,,,,,,
2046,,,,,,,,,,,
2059,,,,,,1,Advanced,1,Ecology/Science,,
2068,,,,,,,,,,,
2083,,,,,,,,,,,
2087,,,,,,,,,,,
2094,,,,,,,,,,,
2103,,,,,,,,,,,
2105,2012-08-08 00:00:00,,,I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,,1,Advanced,,Ecology/Science,,
2130,2012-02-14 00:00:00,,"Juneau, AK ( in office)","I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).,I have a college degree in a field related to ecology/nature.,I have a graduate degree in a field related to ecology/nature.",,1,Advanced,,Ecology/Science,,
2304,,,,,,,,,,,
2514,,,,,,,,,,,
2585,,,,,,,,,,,
2718,,,,,,,,,,,
2724,,,,,,,,,,,
2749,,2014-04-08 00:00:00,webinar,,,1,Intermediate,,,,
2766,,,,,,,,,,,
2774,,,,,,,,,,,
2789,,,,"I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).","have trained myself in ecology, trying to do same in botany",1,Intermediate,,Education/Outreach,"Organized Green Infrastructure group, lead hikes, arrange lectures, do minor research.",
2927,,,,,,,,,,,
2951,2012-07-06 00:00:00,2013-11-13 00:00:00,webinar,,,1,Beginner,1,Education/Outreach,,
3010,,,,,,,,1,,,
3111,,,,,,,,,,,
3136,,,,,,,,,,,
3205,,,,,,,,,,,
3206,,,,,,,,,,,
3238,,,,,,1,Advanced,1,Ecology/Science,,
3239,,,,,,,,,,,
3247,,,,,,,,,,,
3249,,,,,,,,,,,
3268,,,,,,,,,,,
3275,2013-02-17 00:00:00,,,,,1,Advanced,,,,
3340,,,,,,,,,,,
3346,2012-07-23 00:00:00,,,"I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).,I have a college degree in a field related to ecology/nature.",Certified Naturalist - Tremont Institute Great Smokey Mtns. Nat. Park,1,Advanced,,Education/Outreach,Certified Naturalist - North Carolina Environmental Educator,0000-00-00 00:00:00
3414,,,Coastal Maine Botanical Garden,,,,,,,,
3456,,,,,,,,,,,
3470,2011-07-27 00:00:00,,,,,1,Beginner,,,,
3564,,,,,,,,,,,
3598,,,,,,,,,,,0000-00-00 00:00:00
3623,,,,,,,,,,,
3689,,,,,,,,,,,
3759,,2011-07-06 00:00:00,Acadia National Park,"I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).",,1,Intermediate,,Ecology/Science,,
3803,2011-08-05 00:00:00,,,"I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).",Ohio Certified Volunteer Naturalist (pending),1,Intermediate,,Education/Outreach,,
3903,,,,"I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).",,,,,,,
3989,,2011-09-22 00:00:00,"Circle X Ranch, Santa Monica Mountains National Recreation Area",I have a college degree in a field related to ecology/nature.,,1,Advanced,,Education/Outreach,,
4006,2011-10-11 00:00:00,,,I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,,1,Beginner,,,,
