Site_ID,Site_Type,Site_Name,State,Latitude,Longitude,Lat_Long_Datum,Lat_Long_Source,Elevation_in_Meters,Elevation_Source,Degree_of_Development_Surrounding_Site,Landscape_Description,Proximity_to_Road,Proximity_to_Permanent_Water,Area_of_Site,Type_of_Forest_at_Site,Presence_of_Slope,Location_Relative_to_Slope,Slope_Aspect,Presence_of_Domesticated_Cats,Presence_of_Domesticated_Dogs,Presence_of_Domesticated_Animals,Presence_of_Garden,Presence_of_Bird_Feeder,Presence_of_Nesting_Box,Presence_of_Fruit,Presence_of_Birdbath,Presence_of_Other_Features_Designed_to_Attract_Animals,Site_Comments,Site_Registration_Date
2,Personal,Home,ME,43.08535,-70.69133,WGS84,User,12,Auto-USGS-WebService,Suburban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",,,,A mixture of evergreen and deciduous trees,,In the middle of the slope,Southwest,,,,,,,,,,,
9,Personal,PPN_470055,WI,43.097801,-87.892998,WGS84,User,201,Auto-USGS-WebService,Suburban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",,,,"Mostly deciduous trees (for example, maple or larch)","No, the surrounding terrain is relatively flat",,,,,,,,,,,,Plant Phenology Network station PPN_470055,
19,Group,Zumwalt Prairie,OR,45.568645,-116.97419,WGS84,Google Maps,1380,Auto-USGS-WebService,,,,,,,,,,,,,1,,,,,,Lat/long and elevation is the Hartschworn Butte study area on TNCand#39;s Zumwalt Prairie Preserve,
30,Personal,Theresa Yard,AZ,32.216873,-110.801132,WGS84,Google Maps,818,Auto-USGS-WebService,Suburban,Other (please describe in comments box),,,,,,,,,,,,,,,,,primarily gravel,
38,Personal,Cedar Bog Lake Lowland 2,MN,45.407852,-93.200974,WGS84,Google Maps,281,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
101,Personal,PPN_140264,KS,37.169998,-98.029999,WGS84,User,417,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,Plant Phenology Network station PPN_140264,
113,Personal,PPN_200228,MI,42.241814,-83.693382,WGS84,User,251,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,Plant Phenology Network station PPN_200228,
119,Personal,PPN_203203,MI,43.722694,-83.057693,WGS84,,233,Auto-USGS-WebService,Rural,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",20 yd,17 mi,3 ac,,,,,,,,1,,,,,,Plant Phenology Network station PPN_203203,
132,Personal,PPN_214861,MN,45.704201,-95.018402,WGS84,User,399,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,Plant Phenology Network station PPN_214861,
141,Personal,PPN_234982,MO,39.94788,-93.247711,WGS84,Google Maps,253,Auto-USGS-WebService,Rural,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",200 ft,500 ft,9 ft2,"Mostly deciduous trees (for example, maple or larch)","Yes, and the site is...",On the top of the slope or on a ridge,,1,1,,1,,,,,,Plant Phenology Network station PPN_234982,
144,Group,PPN_239901,MO,37.116482,-93.422562,WGS84,Google Maps,375,Google Elevation Service,Suburban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",10 ft,0.7 mi,21 m2,"Mostly deciduous trees (for example, maple or larch)","No, the surrounding terrain is relatively flat",,,,,,,,,,,,Plant Phenology Network station PPN_239901,
178,Personal,PPN_309901,NY,42.450108,-76.467155,WGS84,User,254,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,Plant Phenology Network station PPN_309901,
193,Personal,PPN_362721,PA,40.005478,-78.384766,WGS84,User,312,Auto-USGS-WebService,Suburban,"Pavement (such as asphalt, concrete, brick)",,,,"Mostly evergreen trees (for example, pine or live oak)","No, the surrounding terrain is relatively flat",,,,,,,,,,,,Plant Phenology Network station PPN_362721,
200,Personal,PPN_397277,SD,45.452557,-99.336052,WGS84,User,559,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,Plant Phenology Network station PPN_397277,
209,Group,PPN_438556,VT,43.799999,-72.269997,WGS84,User,140,,,,,,,,,,,,,,,,,,,,Plant Phenology Network station PPN_438556,
261,Personal,PPN_9050005,CO,39.098499,-104.834297,WGS84,User,2191,Google Elevation Service,,,,,,,,,,,,,,,,,,,Plant Phenology Network station PPN_9050005,
347,Personal,PPN_9110020,IL,41.9772,-89.896103,WGS84,User,250,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,Plant Phenology Network station PPN_9110020,
418,Personal,PPN_9180003,MD,38.888126,-76.553368,WGS84,User,13,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,Plant Phenology Network station PPN_9180003,
443,Personal,PPN_9200010,MI,42.304653,-83.70118,WGS84,Google Maps,276,Auto-USGS-WebService,Suburban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",70 ft,600 yd,500 sqyd,,,,,,,,1,,,,,,Plant Phenology Network station PPN_9200010,
459,Personal,PPN_9239908,MO,36.524502,-92.751999,WGS84,User,234,,,,,,,,,,,,,,,,,,,,Plant Phenology Network station PPN_9239908,
463,Personal,PPN_9239912,MO,37.427532,-92.958176,WGS84,User,391,Auto-USGS-WebService,Rural,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",,,,,"No, the surrounding terrain is relatively flat",,,,,,,,,,,,Plant Phenology Network station PPN_9239912,
464,Personal,PPN_9239913,MO,37.918934,-91.437325,WGS84,Google Maps,323,Auto-USGS-WebService,Rural,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",1.5 mi,0.5 mi,1 ac,,,,,,,,,,,,,,Plant Phenology Network station PPN_9239913,
