Phenophase_ID,common_name,current_forecast_version,download_date,download_source,n_observations,observation_downloaded,observation_file,occurences_downloaded,range_map_made,species
501,catclaw acacia,2,2017-12-29,local,57,yes,acacia_greggii_501.csv,no,no,acacia greggii
371,boxelder,2,2017-12-29,local,230,yes,acer_negundo_371.csv,no,no,acer negundo
501,boxelder,2,2017-12-29,local,114,yes,acer_negundo_501.csv,no,no,acer negundo
371,red maple,2,2017-12-29,local,2108,yes,acer_rubrum_371.csv,no,no,acer rubrum
501,red maple,2,2017-12-29,local,1534,yes,acer_rubrum_501.csv,no,no,acer rubrum
371,Saskatoon serviceberry,2,2017-12-29,local,35,yes,amelanchier_alnifolia_371.csv,no,no,amelanchier alnifolia
501,Saskatoon serviceberry,2,2017-12-29,local,65,yes,amelanchier_alnifolia_501.csv,no,no,amelanchier alnifolia
371,pignut hickory,2,2017-12-29,local,535,yes,carya_glabra_371.csv,no,no,carya glabra
501,pignut hickory,2,2017-12-29,local,138,yes,carya_glabra_501.csv,no,no,carya glabra
371,eastern redbud,2,2017-12-29,local,259,yes,cercis_canadensis_371.csv,no,no,cercis canadensis
501,eastern redbud,2,2017-12-29,local,249,yes,cercis_canadensis_501.csv,no,no,cercis canadensis
501,bluebead,2,2017-12-29,local,124,yes,clintonia_borealis_501.csv,no,no,clintonia borealis
501,bunchberry dogwood,2,2017-12-29,local,114,yes,cornus_canadensis_501.csv,no,no,cornus canadensis
371,redosier dogwood,2,2017-12-29,local,189,yes,cornus_sericea_371.csv,no,no,cornus sericea
501,redosier dogwood,2,2017-12-29,local,89,yes,cornus_sericea_501.csv,no,no,cornus sericea
371,American beech,2,2017-12-29,local,866,yes,fagus_grandifolia_371.csv,no,no,fagus grandifolia
501,American beech,2,2017-12-29,local,185,yes,fagus_grandifolia_501.csv,no,no,fagus grandifolia
371,American witchhazel,2,2017-12-29,local,714,yes,hamamelis_virginiana_371.csv,no,no,hamamelis virginiana
501,American witchhazel,2,2017-12-29,local,105,yes,hamamelis_virginiana_501.csv,no,no,hamamelis virginiana
501,Canada mayflower,2,2017-12-29,local,453,yes,maianthemum_canadense_501.csv,no,no,maianthemum canadense
371,quaking aspen,2,2017-12-29,local,347,yes,populus_tremuloides_371.csv,no,no,populus tremuloides
371,chokecherry,2,2017-12-29,local,137,yes,prunus_virginiana_371.csv,no,no,prunus virginiana
501,chokecherry,2,2017-12-29,local,126,yes,prunus_virginiana_501.csv,no,no,prunus virginiana
501,common dandelion,2,2017-12-29,local,150,yes,taraxacum_officinale_501.csv,no,no,taraxacum officinale
371,highbush blueberry,2,2017-12-29,local,91,yes,vaccinium_corymbosum_371.csv,no,no,vaccinium corymbosum
501,highbush blueberry,2,2017-12-29,local,157,yes,vaccinium_corymbosum_501.csv,no,no,vaccinium corymbosum
